,Household Income,Children,Year Of Residence,Weekly Fee Lower,Weekly Fee Upper,Age,ORANGE,RIVERSIDE,SAN BERNARDINO,Fri-Sun,Mon-Fri,SatSun,Sun-Fri,SunOnly,Thu-Sun,Website,Subscriber
0,30000,False,1,7.0,7.99,27.0,False,False,False,False,False,False,False,False,False,True,False
1,500000,True,14,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,True
2,100000,True,7,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,True
3,200000,False,23,1.0,4.99,57.0,True,False,False,False,False,False,False,True,False,True,False
4,50000,False,23,8.0,8.99,62.0,True,False,False,False,False,False,False,False,True,True,True
5,500000,True,10,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
6,150000,False,4,1.0,4.99,80.0,True,False,False,False,False,True,False,False,False,True,False
7,400000,True,22,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,False,False
8,175000,False,2,1.0,4.99,47.0,True,False,False,False,False,False,False,True,False,True,False
9,50000,False,6,1.0,4.99,67.0,True,False,False,False,False,False,False,False,False,False,True
10,125000,False,7,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,False,False
11,500000,False,25,9.0,9.99,57.0,True,False,False,False,False,False,False,False,False,False,False
12,125000,False,23,9.0,9.99,72.0,True,False,False,False,False,False,False,False,False,True,False
13,400000,True,16,1.0,4.99,52.0,True,False,False,False,False,False,False,False,True,False,False
14,150000,False,11,1.0,4.99,67.0,True,False,False,False,False,False,False,False,False,False,False
15,200000,False,1,1.0,4.99,27.0,True,False,False,False,False,False,False,True,False,False,False
16,0,False,7,1.0,4.99,27.0,True,False,False,False,False,False,False,False,False,False,False
17,80000,False,7,1.0,4.99,62.0,True,False,False,False,False,False,False,False,False,False,False
18,400000,True,12,1.0,4.99,42.0,True,False,False,False,False,False,False,False,True,False,False
19,200000,False,26,1.0,4.99,72.0,True,False,False,False,False,False,False,True,False,False,True
20,400000,True,20,1.0,4.99,47.0,True,False,False,False,False,False,False,False,False,False,False
21,175000,False,2,7.0,7.99,62.0,True,False,False,False,False,False,False,False,False,False,False
22,150000,False,4,1.0,4.99,57.0,True,False,False,False,False,False,False,False,False,True,False
23,90000,False,4,1.0,4.99,80.0,True,False,False,False,False,False,False,True,False,False,False
24,200000,False,1,1.0,4.99,42.0,True,False,False,False,False,True,False,False,False,False,False
25,125000,False,3,1.0,4.99,80.0,True,False,False,False,False,False,False,False,False,False,False
26,200000,False,10,5.0,5.99,72.0,True,False,False,False,False,False,False,False,False,False,True
27,300000,True,21,6.0,6.99,52.0,True,False,False,False,False,False,False,False,False,False,False
28,20000,False,6,1.0,4.99,22.5,True,False,False,False,False,False,False,False,False,True,False
29,300000,True,4,10.0,10.99,47.0,True,False,False,False,False,False,False,False,False,False,True
30,200000,False,15,1.0,4.99,42.0,True,False,False,False,False,False,False,True,False,False,False
31,0,False,17,1.0,4.99,67.0,True,False,False,False,False,False,False,True,False,False,False
32,150000,True,27,1.0,4.99,52.0,True,False,False,False,False,False,False,False,True,False,False
33,100000,False,30,1.0,4.99,80.0,True,False,False,False,False,False,False,False,True,False,False
34,0,False,4,1.0,4.99,62.0,True,False,False,False,True,False,False,False,False,False,False
35,150000,False,20,8.0,8.99,57.0,True,False,False,False,False,False,False,False,False,False,False
36,150000,False,4,1.0,4.99,37.0,True,False,False,False,False,False,False,False,True,True,False
37,100000,False,13,1.0,4.99,67.0,True,False,False,False,False,False,False,False,False,False,False
38,100000,False,19,1.0,4.99,62.0,True,False,False,False,False,False,False,False,False,False,False
39,70000,False,9,1.0,4.99,62.0,True,False,False,False,False,False,False,False,False,False,False
40,0,False,1,1.0,4.99,80.0,True,False,False,False,False,False,False,False,False,False,False
41,80000,True,1,1.0,4.99,52.0,True,False,False,False,False,False,False,True,False,True,False
42,125000,True,2,1.0,4.99,37.0,True,False,False,False,False,True,False,False,False,False,False
43,150000,False,4,1.0,4.99,42.0,True,False,False,False,False,False,False,False,True,True,True
44,125000,False,10,1.0,4.99,57.0,True,False,False,False,True,False,False,False,False,False,False
45,30000,False,2,1.0,4.99,52.0,False,False,False,False,False,False,False,False,False,False,False
46,400000,False,28,1.0,4.99,57.0,True,False,False,False,False,False,False,False,False,True,False
47,30000,False,3,1.0,4.99,37.0,True,False,False,False,False,False,False,True,False,True,False
48,150000,True,7,1.0,4.99,57.0,True,False,False,False,False,False,False,False,False,False,False
49,125000,False,5,1.0,4.99,37.0,True,False,False,False,False,False,False,True,False,False,False
50,175000,False,28,1.0,4.99,62.0,True,False,False,False,False,False,False,False,False,False,False
51,150000,False,2,1.0,4.99,32.0,True,False,False,False,False,False,False,False,False,False,False
52,300000,False,24,1.0,4.99,67.0,True,False,False,False,False,False,False,True,False,False,False
53,175000,False,37,10.0,10.99,62.0,True,False,False,False,False,False,False,False,False,False,True
54,90000,False,7,1.0,4.99,32.0,True,False,False,False,False,False,False,True,False,False,False
55,300000,False,29,1.0,4.99,62.0,True,False,False,False,False,False,False,True,False,False,False
